제목,댓글,내용
형님들 okx에서 보상이 들어왔는데 오류인가요?,,okx거래소에서 갑자기 뜬금없이 보상이 들어왔는데 이걸 테더로 바꾸려고 하니 보유한게 없다고 나오는데 그냥 오류일까요?
머장 빡쳤다 섹스출발,,야스
수고했다. 찐반이다. 자 드가자~,,ㅁㄴㄹㅇ
비트멸망 ㅂㅂ 시즌운지,,운 지
비트코인은 그냥 어이가 없다,1,"다시봐도 왜이렇게 변동성이 심한지 알 길이 없다. 2000만개라는 한정된수량, 전세계 개인과 기관이 분산보관중이며 갯수는 소실되어가는데 왜이리 우상향자산으로 자리잡지 못하는지 모르겠다, 비트의 나이는 더이상 젊지도않고 이제 성숙할 나이임에도 여전히 극단적으로 꼬라박고 치솟고의 반복이다"
드디어 말아 올리는구나 반등 드가자 ㅠㅠ,,신호왔다나 믿고 타라
병신들이 비트코인하니까 돈을 잃지 ㅎㅎ,,앱스타인 문건 보고도 비트코인 들고 있냐 ㅎㅎ아니 그거 뭔지도 모르는 저능아가 차트만 보고 부화뇌동매매중인건가 ㅎㅎㅎ
변동성 커서 코인하기 좋다.,1,비트가 내릴때 오를때 몇퍼씩 움직여서..  단타하기 좋다..트레이딩할때.. 변동성 큰게 이래서 중요하구나..이런장 계속되면 수익내기 좋을듯..
ㅂㅌㅋㅇ 얼마까지 떨어짐,,지금 물타는 중인데 tq계속떠러지노
"네타냐후 총리""행성의 중력이 점에서 선이 되었다'...jpg",,"중력은 지구의 중심으로 지구와 우주의 경계면까지 작용합니다.




지구의 중력권안에 있는 물질은 모두 지구의 중심으로 끌려들어옵니다.




지구가 있는 공간에 중력장은 있지만 지구가 없다고 생각해봅시다.




물질이 중력장에 닿아 중력의 중심으로 끌려가면서 가속운동을 하다가 지구의 중력의 중심을 넘어갔어요.




그러면 중력의 중심을 기준으로 반중력이 되는겁니다.




그러다가 다시 중력에 의해서 되돌아와서 중심으로 물질이 결국 멈추겠죠.




이때까지 중력의 중심은 무조건 한 점이라고 생각했어요.




그런데 선으로 바꿀수있다는겁니다.




내부가 텅빈 도넛을 생각해보세요.




그 도넛은 투명 아크릴 소재로 되어있습니다.




그 안에 물 30%를 넣어두고 끓이는겁니다.




액체가 기체가 되면서 기체 압력 조절기로 기체가 방출되면서




내부의 수증기가 빠져나갑니다.




이 상태에서 수중기를 식혀 액체로 만들면 부피가 1/1000배로 줄어들면서




인공 중력장이 도넛 안에 생깁니다.




그런데 놀라운 사실은 도넛 형태의 구체 안에서 중력의 중심은 점이 아니라 선이라는겁니다.




완전한 구체에서는 중력의 중심이 점이지만 이런 도넛형태에서는 선이 되었어요




쉽게 말하면 끊임없이 늘어나는 주사기를 생각해보세요.




주사기 입구를 막고 당기는겁니다. 계속 확장되죠.




그런데 당기는 각도를 조금 틀어가지고 원형 궤도로 돌려 계속 당기다가 입구와 당김세 부분이 만나도록 하는겁니다.




그리고 결합을 하게 되면 결합되는 순간 중력의 중심이 점에서 선이 되는겁니다.




이런거는 현대 물리학계나 천체물리학계에서 논의 조차 되기 어려운 상상조차 할 수 없는 그런 영역의 내용입니다.




미래에 우주선을 만들때 원형으로 만들지 않습니까.




노벨상을 수상한 물리학자나 박사학위를 가진 하버드 교수들이




중력을 원심력에 의해 기초한다고 믿고있고 지구처럼 우주선 바닥에 있을꺼라고 상상한다는거죠.




하지만 틀렸다는겁니다. 원통의 중심의 선입니다.




그 선으로부터 5m까지 공기가 있고 5m~100m는 진공의 공간입니다.




정리하자면 공간이 크던 작던 하나의 공간에는 중력의 중심은 점이였습니다.




그런데 도넛 형태에서는 중심이 점이아니라 선이 중력의 중심이 됩니다.
















토카막 방식의 핵융합 원자로를 보면 알수있습니다.




자기장이 외부에서 물질을 밀어내서 중심에 물질이 뭉쳐져있습니다.




힘이 파란색 마그네틱으로부터 밀어내고 있습니다.




하지만 도넛 형태의 인공 중력 우주선은 저 노란색 도넛의 중심선에서




파란색 표면까지 물질을 당기고 있는겁니다.




노란색 물질이 중력의 중심의 선에 붙은겁니다.




이거를 현대 물리학자에게 설명하면 뭐라고 하겠습니까




중력은 원심력에 의해서 생긴다고 믿고있습니다.




중력은 단위 면적에 중력원에 의해서 수축 되면서 생기는 수축되는 힘입니다.




우리가 지구 밖으로 나가면 그래서 몸이 펴지는거죠.




단위 면적에서 얼마나 큰 힘으로 그 공간을 수축시켰느냐에 따라 중력의 힘이 결정됩니다.




대부분 원자의 운동 상태가 변하면서 생기는 힘으로 수축시키기 때문에 질량에 비례했던겁니다.










완벽하게 이해했습니다.




만약에 우주로 가서 풍선을 입으로 불어서 입구를 막고 




내부의 수증기 온도를 낮추면 수증기가 액체로 변하면서 내부로 수축하려는 힘이 생길텐데




풍선이 쭈그러들겁니다.




그래서 최대로 확장되었을때 투명 아크릴 수지를 녹여 굳힌 다음에 터트리면 




풍선 내부의 공간 99.9%가 진공일꺼고 0.1%가 액체가 된 수증기일겁니다.




풍선의 중심이 중력의 중심이고,




풍선의 플라스틱 경계면부터 중력의 중심으로 물질이 끌려가는 중력장이 생긴다는거 맞으신가요?










정확하게 이해하셨습니다.




그렇게 중력을 만드시고 플라스틱 부분을 녹이면 어떻게 될까요?




맞습니다.




우주는 진공의 공간이라 플라스틱이 사라지면 그 진공의 공간이 경계면이 되는겁니다.




그러면 플라스틱이 중력장에 의해서 물질의 중심으로 끌려가는겁니다.




우리가 우주와 지구의 경계면만 넘어가면 무중력을 경험하고 중력의 경계면 안으로 들어오면 중력이 작용하는것처럼




풍선에도 중력의 경계면이 생기는겁니다.




이때 중력의 힘은 얼마나 클까요?




풍선 안에 있던 수증기가 액체로 전환되면서 1/1000배 공간을 수축시키는데




수증기가 액체로 전환된 질량에 비례합니다.




만약 풍선이 더 크고 수증기가 더 많이 들어가고




그 수증기가 액체로 전환되는 비율에 따라 단위 면적에 작용하는 중력의 힘이 결정될것입니다.




이젠 정말로 인공 중력을 가진 우주선을 실제로 만드는것이 가능해졌습니다."
아더는 왜 역프임?,,
코인하면. 돈 잃어.  몸 버려.  정신 피폐해짐.  접어요.,,오늘의  저점이  내일의  고점.  - dc official App
님들 넣어놓은거 얼마됨?,1,나 엑시 스토리 엔소 지케이 1400 넣엇던거 820됨
롱충이들은 빨리 빼라 새벽4시에 -7백까지 떨어진다.,,롱충이 ㅌㅌ 도와줄께 청산방지
시즌 종료됨,1,.
건전한 조정이다(ㄹㅇ),,비트코인 1억 딱 가면 도람푸 형님이 대량 매수하고 언플로 다시 화성 보낼 예정 이 글은 성지가 된다  - dc official App
지금 건강한 조정중이다,,건강하다
리플이 일단 천원가야함,,비트이더보다는  조샌징들이 리플 많이 들고있음  - dc official App
트황 반응 떴다!!!,,비크코인은 혐오스러운 것
개씨발 현물 20%에서 손절,,안한다 개새끼야- dc official App
지금 코인이 얼마가 빠져도 내가 걱정이 없는이유,1,진짜 돈으로 가짜돈을 안삿음.
와 바낸 쭉쭉 흐르네 ㄷㄷㄷㄷㄷㄷㄷ 녹아내린다,,
정신이 올케 박힌 사람들과 고래들은 이미 떠났어 ㅋㅋㅋ,,남은 찌끄레기라도 서로 주어먹으려고 달려드는 바퀴벌레들만 남았노 ㅋㅋㅋ
마이클세일러 일부매도했다고 외신보도나옴,,CNN 들어가서보면 나옴 속보떳더라 ㄹㅇ임
비트 1억 깨지길 기원합니다.,,오늘밤 꿈은 이뤄진다.
차트를 봐라 ㅋㅋ 숏안치는 지능은 대체 뭘까?,,대답
9850만원 빼놨다.,,어서 오드래이 ㅋㅋㅋ
솔라나 9만원 가것노 ㄹㅇ,,ㄷㄷㄷㄷㄷ
ㅡㅡㅡㅡㅡㅡㅡㅡㅡ비트멸망의 날ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ,,
숏치면 돈버는데 왜 안치면서 징징대냐,,이해불가
병신들아 ㅋㅋ 이럴때가 세일 찬스라는걸 모르는거냐?,,주워담아라어차피 개떡상한다 ㅇㅇ
하핳하하하하하핳ㅎㅎ,,찐반인줄 알았즄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경계선 지능들과 범죄자들밖에 남지 않은 코인판 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
리플 사니 반토막,1,문제는 다른알트들이다.걔넨 20토막났음
꺄아아아아아아악!!,,
여기서 반토막내면,,악 소리도 안나올듯 ㅋㅋㅋ
주식으로 돈땄다고 코인판와서 다 잃고가노,,ㅋㅋㅋ찢재명이 연기금 녹여서 주식좀 따게한거싹 날리노
죽을것 같다,1,작년말에 절반이라도 뺄걸
좆됏다,2,차 살돈인데 타보자도 못햇더
이더는 매일저녁 -9프로 보러가노,,오늘도 쏟나
500만원 넣었는데 390만원됬음 절대하지마라 코인은,,국내주식에다가 500만원 넣었는데 50만원 수익중이고
찐반등이댜 다들 수고했다.,,목놓아 울어라.
이거 진짜에오?,,진짜돈을 주고 가짜돈을 사는 사람이 있다고요?
3300만원 900만원됨,,애미뒤진게임  너넨하지마라 ㄹㅇ
나 방금 비트레이어로 1천만원 벌었음 ㅁㅊ,2,원래는 5천만원 올릴려다가 절반만 올린건데 아쉽지만 만족해야지
비트레이어 30원걸어놓았다 펌프냄새나네,,태초마을가라 ㅂㅅ코인아
씨ㅣ발 발밑인 줄 알고 삿는데 더 아래가 잇다고,,여기서 더 빠진다고 더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고더빠진다고- dc official App
비트레이어 다시 200원까지 올리면 레전드다,,미첬다 80원에만 샀어도 30분만에 50프로수익
비트레이어 역대급이다 와 20만원손해보고손절첬는데,,평단 90에 던젔는데 ㅆㅂ 이게다시 120가네
백만원으로 레버리지 숏 100배하면,,비트코인 하락하면 1억 수익나는거임?
비트코인 언급 체형 팔 다리 굵어,,"단발 머리 기른 습성

구로는 주로 부산대

강남 서울권




인천 외진 동네 장어집




하다가 폐업"
비트 이더 둘다 숏 100배 할껄 25배 별로 맛없엉ㅠㅠ,,먹어도 맘에 안들어 흥!
비트레이어 ㄹㅈㄷ네 ㅋㅋ,,구경만하고있었는데 저거 렉걸려서 팔지도 못하더만잠깐 풀렸을때 패닉셀했으면 눈물 질질흐르겠노
27살 조언좀,2,"3년 일하면서 4000만원 정도 모았는데




비트 0.1개 이더리움 10개 딱 사두고 싶어




나이 30살쯤에 1억은 돼 있지 않을까?







3년동안 누적손실 3000만원이라 너무 심란함




업비트에서 매수하고 어플 삭제한 잊고살고싶다




생활비 빼고 월급 전부를 투자했는데 쩝."
스토리 처물렸는데 맨날 대가리 아래로 꼴아박네,1,하긴 지금 안처물린놈이 있을까 싶지만
비트레이어탄놈들은 다지옥갔겠노 ㅋㅋㅋ,,화끈하네
글리젠 왜이럼?,1,야야 죽었냐고  - dc official App
레이디움 << 이새끼 호가창 존나 얇네 ㅋㅋㅋㅋ,,경주마 가잣 ㅋㅋㅋ  - dc official App
내가 코인을 소액으로만 매매하는 이유 ㅋㅋ,,소액밖에없어서  - dc official App
이더 260까지는 빠지겠다 숏 ㄱㄱ,,ㅇㅇ
비트 왜떨어지는줄아냐?,2,누군가 팔고있어서 떨어지는거임  - dc official App
내생각엔 비트코인 역대급 폰지사기로 남을거같음,,죄다 비트는 저점찍고 신고점 4년뒤 도달한다는데 그공식을 깨버리고 알고보니 무한발행가능했고 0원수렴될때까지 모든개미. 돈 다빼앗고 코인시장 막을내리는거아님? 메이저고 잡알트고 다 상폐차트인데 ㄹㅇ  - dc official App
다들 괜찮냐?,,완전히 꺾여버렸는데 이거 물탔다가 그대로 한강물로 간다 정신차리자  - dc official App
비ㅡㅡ트ㅡㅡ코ㅡㅡ인ㅡㅡ무ㅡㅡ한ㅡㅡ발ㅡㅡ행ㅡㅡ악ㅡㅡ재,,- dc official App
비ㅡㅡ트ㅡㅡ코ㅡㅡ인ㅡㅡ1 ㅡㅡ원ㅡㅡ간ㅡㅡ다,,- dc official App
코인 진짜 미치긴했네. 아직도 1억이 넘어??,,맨날 하락이니 폭락이니 앓는소리 하더니 아직도  1억이 넘는다고??100만원해도 비싸보이는데 저게 아직도 1억이 넘는다고??이해 안된다
비트코인 2009년에 1원이었음,,1개에 ㅇㅇ
애ㅡㅡㅡ비ㅡㅡㅡ야ㅡㅡㅡ미ㅡㅡㅡ안ㅡㅡㅡ해,,- dc official App
아귀형이다 형포지션 공유 필요하면 추천눌러라,,ㅇㅇ
알ㅡㅡ바ㅡㅡ천ㅡㅡ국ㅡㅡ일ㅡㅡ용ㅡㅡ직ㅡㅡ급ㅡㅡ구,,- dc official App
당ㅡㅡ일ㅡㅡ지ㅡㅡ급ㅡㅡ노ㅡㅡ가ㅡㅡ다,,- dc official App
애ㅡㅡㅡ미ㅡㅡㅡ야ㅡㅡㅡ미ㅡㅡㅡ안ㅡㅡ해,,- dc official App
ㅡㅡㅡㅡ 평 ㅡㅡㅡ택 ㅡㅡㅡ노ㅡㅡ가 ㅡ다ㅡㅡㅡㅡㅡ,,야가다
포켓이 아니고 로켓이네,,ㅋㅋ
ㅡㅡㅡㅡ주 5일 500 상하차 용달 ㅡㅡㅡㅡ누구나고수익 ㅡㅡ,,ㅋㅋㅅㅂ
ㅡㅡㅡ쿠ㅡㅡ팡 ㅡㅡㅡ상하ㅡㅡㅡ차 ㅡㅡㅡㅡㅡ,,ㅇㅇ알바
폰ㅡㅡㅡㅡㅡㅡㅡㅡ지ㅡㅡㅡㅡㅡㅡㅡㅡ사ㅡㅡㅡㅡㅡㅡㅡㅡ기,,
아귀형이다 예언대로 가고있지??,3,잘 따라왔기를 바래
126k때 비트 내리기위한 구라상승이라고하니까 비추폭탄뜨드만ㅋㅋ,,벌써70k 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc official App
비트 개새끼야 그만뒤져,,애미뒤진새끼같으니
비트 1억 밑으로 가면….,,- dc official App
씨발 포켓만 또쳐오르네,,씨발 진짜- dc official App
뺴라 병신들아 60k간다,1,5년차 백수 가상화폐 트레이너로써 이번엔 찐 하락이다 60K 간다
스토리 프로토콜 1000초반 기다리는중,,ㅡ  - dc official App
세일러 이새끼 평단 몇인데 아직도 안뒤졌냐,,내가 이새끼 걱정할 팔자는 아니지만  - dc official App
오늘 밖에 절대 나가지마라,,오늘 중금속 미세먼지 발암물질 하루종일 전국에 떠 있을 예정임 집에서도 공기청정기 풀로 하루종일 틀어놔라
오늘 밖에 절대 나가지마라,,오늘 중금속 미세먼지 발암물질 하루종일 전국에 떠 있을 예정임 집에서도 공기청정기 풀로 하루종일 틀어놔라
대황말좆양봉교배임신농밀프레스 입갤ㅋㅋㅋㅋ,,이말올 컄ㅋㅋㅋㅋㅋㅋㅋㅋ
진짜 세력놀이터구나 그냥,,지들 좆대로 할수있어서 좋겠다 내려도 돈 먹고 올려도 돈 먹고 돈 있는 새끼들이 다 해 먹네
마이클 세일러 뉴욕 허드슨강에서 발견!,,zz  - dc official App
코인 안한다 재미없다 ㅈ노잼 설거지 돈다뺌,,ㅂ
대ㅡㅡㅡㅡㅡㅡㅡ운ㅡㅡㅡㅡㅡ지,,튀어 ㅌㅌㅌㅌㅌㅌㅌ
비트 시발ㅋㅋㅋ,,새벽만 되면 귀신같이 처쏟네태초마을 가라 그냥 병신같은거 ㅋㅋ
씨발 이게 맞냐 왜 숏충이만 먹여주는데,,이건 뭐 매일 숏이네 숏에 다 몰려있는데도 쳐 내리네
이거 손절하냐 어카냐 비트삿는데 ㅠ,3,- dc official App
코인이 오르길 바라는건 1찍들이 정상인이 되길 바라는것과,,같은 수준의 미친생각이다절대 일어나지 않을 일이라는거지 ㅇㅇ
비트이래 빠질때도 솔라보면 업비트거래소 왜걸렌지 느낌없냐 휴지조각,,ㅋㅋㅋㅋㅋㅌ
나스닥이 오르던 말던 코인은 그냥 끝났다 특히 알트는,,ㅉㅈㅈㅈㅈㅈ
천ㅡㅡㅡㅡ진ㅡㅡㅡㅡ반,,ㅅㅅㅅ
내일 100베 숏 무난하게 줍줍 가능할지도?,,그렇다고~ 한 귀로 흘려~
찐반등 다들 수고했다.,,자 드가자
살자마렵내..,,하.. 혹시 자비로우신 행님들.. 테더1개만 주십쇼..  BSC : 0x1a59c8c27E22D26B63A663B87d9B6d6034A857e6
시즌종료....,,2029년까지 횡보...한데...  - dc official App
이재명이 돈찍어서 국내주식 사는거 아닌가,,렙틸리언 외계인 기술로 몰래 돈찍어서 말이지 환율 조작도 외계 기술 사용해서 안걸리는거고 - dc official App
출발한다 일단 비트코인 1억 가자 ㅋㅋㅋㅋ,,ㅋㅋ
이재명이 돈찍어서 국내주식 사는거 아닌가,,렙틸리언 외계인 기술로 몰래 돈찍어서 말이지 환율 조작도 외계 기술 사용해서 안걸리는거고 - dc official App
출발한다 일단 비트코인 1억 가자 ㅋㅋㅋㅋ,,ㅋㅋ
나스닥 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,
아무도 안속은 솔라 쫌만 오르면 수백만개 쏟음 젝슨황도 못올림,,ㅋㅋㅋㅋㅋㅋ
ㅂㅅ형들 주식 8500은 넘기니까 빨리 코인팔고 주식으로가 ㅉㅉㅉ,,ㅉ
솔라나 어제샀는데 -10%,,
솔라 재단 수십억개 팔고 10원 되야 오를듯 ㅋㅋㅋ,,ㅋㄹㄹㄹㄹ
한국영화 나만 안봄??  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,"언제부턴가 한국영화에 반감생기더라 지금 넷플에 띄워주는 어쩔수없다도 안보는중 왜냐? 배우가 맨날 똑같음 우리나라의 조폭,정치,북한 뻔한 소재의 한계는 이해하겠는데 ㅅㅂ 배우가 맨날 똑같은놈들인게 말이되냐 지금 배우지망생만 줄서있는게 수만명인데 제작자 입장에선 보증수표같은 배우 비싸게 쓰고싶다곤 하지만 아니 ㅅㅂ 적당히 쳐나와야지  몇개 작품에 쳐나오는거냐? 원빈처럼 적어도 3년~10년에 한번 나와야 희소성이 있고 호기심으로 보게되는거지 시바 한달에 한번씩 쳐나오니 그냥 반감들어서 안보게됨"
